,core_name,start_datetime,end_datetime
0,RR2509-D1,2025-10-16 01:29:00,2025-10-16 06:09:00
1,RR2509-D10,2025-10-19 10:57:00,2025-10-19 16:04:00
2,RR2509-D11,2025-10-18 17:56:00,2025-10-18 23:12:00
3,RR2509-D12,2025-10-20 00:09:00,2025-10-20 05:37:00
4,RR2509-D13,2025-10-20 13:09:00,2025-10-20 18:52:00
5,RR2509-D14,2025-10-21 03:54:00,2025-10-21 10:25:00
6,RR2509-D15,2025-10-21 13:39:00,2025-10-21 20:21:00
7,RR2509-D16,2025-10-21 23:59:00,2025-10-22 06:16:00
8,RR2509-D17,2025-10-22 15:30:00,
9,RR2509-D18,2025-10-22 20:45:00,2025-10-23 02:42:00
10,RR2509-D19,2025-10-23 08:24:00,2025-10-23 13:12:00
11,RR2509-D2,2025-10-16 13:59:00,2025-10-16 19:05:00
12,RR2509-D20,2025-10-23 13:57:00,2025-10-23 19:26:00
13,RR2509-D21,2025-10-23 19:36:00,2025-10-24 02:19:00
14,RR2509-D22,2025-10-24 03:19:00,
15,RR2509-D23,2025-10-24 15:17:00,2025-10-24 20:38:00
16,RR2509-D24,2025-10-25 04:16:00,2025-10-25 09:38:00
17,RR2509-D25,2025-10-25 11:36:00,2025-10-25 17:25:00
18,RR2509-D26,2025-10-25 21:54:00,2025-10-26 03:45:00
19,RR2509-D27,2025-10-26 05:27:00,2025-10-26 09:53:00
20,RR2509-D28,2025-10-26 10:42:00,2025-10-26 15:36:00
21,RR2509-D29,2025-10-26 16:26:00,2025-10-26 21:06:00
22,RR2509-D3,2025-10-16 19:37:00,2025-10-17 02:29:00
23,RR2509-D30,2025-10-26 23:48:00,2025-10-27 04:45:00
24,RR2509-D31,2025-10-27 05:39:00,2025-10-27 10:04:00
25,RR2509-D32,2025-10-27 12:08:00,2025-10-27 17:36:00
26,RR2509-D33,2025-10-27 18:28:00,2025-10-28 00:38:00
27,RR2509-D34,2025-10-28 02:24:00,2025-10-28 06:50:00
28,RR2509-D35,2025-10-28 07:40:00,2025-10-28 12:04:00
29,RR2509-D36,2025-10-28 13:31:00,2025-10-28 17:49:00
30,RR2509-D37,2025-10-28 18:31:00,2025-10-29 00:10:00
31,RR2509-D38,2025-10-29 01:15:00,2025-10-29 05:43:00
32,RR2509-D39,2025-10-29 06:29:00,2025-10-29 09:55:00
33,RR2509-D4,2025-10-17 09:19:00,2025-10-17 14:20:00
34,RR2509-D40,2025-10-29 16:23:00,2025-10-29 21:15:00
35,RR2509-D41,2025-10-30 00:27:00,2025-10-30 05:20:00
36,RR2509-D42,2025-10-30 05:50:00,2025-10-30 10:25:00
37,RR2509-D43,2025-10-30 11:07:00,2025-10-30 16:15:00
38,RR2509-D44,2025-10-30 17:01:00,2025-10-30 21:59:00
39,RR2509-D45,2025-10-31 08:28:00,2025-10-31 13:12:00
40,RR2509-D46,2025-10-31 13:55:00,2025-10-31 18:39:00
41,RR2509-D47,2025-11-01 01:37:00,2025-11-01 06:50:00
42,RR2509-D48,2025-11-01 08:08:00,2025-11-01 13:04:00
43,RR2509-D49,2025-11-01 14:03:00,2025-11-01 17:32:00
44,RR2509-D5,2025-10-17 15:07:00,
45,RR2509-D50,2025-11-01 19:25:00,2025-11-02 00:12:00
46,RR2509-D51,2025-11-02 08:14:00,2025-11-02 12:36:00
47,RR2509-D52,2025-11-02 14:08:00,2025-11-02 19:22:00
48,RR2509-D53,2025-11-03 03:20:00,2025-11-03 08:36:00
49,RR2509-D54,2025-11-03 10:03:00,2025-11-03 14:56:00
50,RR2509-D55,2025-11-03 15:38:00,2025-11-03 21:05:00
51,RR2509-D56,2025-11-04 08:06:00,2025-11-04 16:13:00
52,RR2509-D57,2025-11-04 17:32:00,2025-11-04 22:04:00
53,RR2509-D58,2025-11-05 07:57:00,2025-11-05 12:31:00
54,RR2509-D59,2025-11-05 14:10:00,2025-11-05 19:16:00
55,RR2509-D6,2025-10-17 20:14:00,2025-10-18 06:44:00
56,RR2509-D60,2025-11-05 22:22:00,2025-11-06 02:37:00
57,RR2509-D61,2025-11-06 03:26:00,2025-11-06 08:06:00
58,RR2509-D62,2025-11-06 18:59:00,2025-11-07 00:03:00
59,RR2509-D63,2025-11-07 01:00:00,2025-11-07 05:48:00
60,RR2509-D64,2025-11-07 07:04:00,2025-11-07 11:40:00
61,RR2509-D65,2025-11-07 12:36:00,2025-11-07 16:15:00
62,RR2509-D7,2025-10-18 08:24:00,2025-10-18 13:59:00
63,RR2509-D8,2025-10-18 14:58:00,2025-10-18 20:23:00
64,RR2509-D9,2025-10-19 01:17:00,2025-10-19 09:45:00
